closed,buy,1605
closed,sell,1348
buy,usdchf,909
sell,lots,716
buy,lots,691
sell,usdchf,685
short,entry,229
usdchf,resistance,205
long,entry,202
usdchf,long,197
usdchf,support,190
usdchf,short,185
minutes,long,118
bought,lots,102
bought,usdchf,92
usdchf,bullish,87
sold,lots,71
usdchf,sell,70
buy,limit,63
bullish,bias,62
buy,stop,61
long,usdchf,58
position,long,58
sentiment,long,55
usdchf,buy,55
usdchf,indecisive,49
sell,stop,47
usdchf,bearish,45
indecisive,yesterday,38
consolidating,bullish,37
sold,usdchf,36
usdchf,upside,32
modifyorder,buy,32
usdchf,downward,31
bearish,momentum,30
bullish,momentum,29
remains,downtrend,29
downward,movement,29
usdchf,downside,28
usdchf,sold,28
ticket,buy,27
position,short,27
short,usdchf,26
sold,broken,25
swissy,bearish,24
bearish,week,24
risk,resistance,24
upside,overview,23
beneath,support,23
support,channel,22
