1.3526,09/10/2013 20:16:47, ,,,,,,,,,,,
1.3522,09/10/2013 20:18:40, ,,,,,,,,,,,
1.3523,09/10/2013 20:26:47, ,,,,,,,,,,,
1.3523,09/10/2013 20:31:24, ,,,,,,,,,,,
1.3522,09/10/2013 20:33:23, ,,,,,,,,,,,
1.352,09/10/2013 20:40:27, ,,,,,,,,,,,
1.352,09/10/2013 20:42:59, ,,,,,,,,,,,
1.3519,09/10/2013 20:45:17, ,,,,,,,,,,,
1.3519,09/10/2013 20:46:34, ,,,,,,,,,,,
1.3521,09/10/2013 20:52:59, ,,,,,,,,,,,
1.3522,09/10/2013 20:55:18, ,,,,,,,,,,,
1.3523,09/10/2013 21:01:30, ,,,,,,,,,,,
1.352,09/10/2013 21:08:51, ,,,,,,,,,,,
1.352,09/10/2013 21:10:19, ,,,,,,,,,,,
1.352,09/10/2013 21:10:45, ,,,,,,,,,,,
1.352,09/10/2013 21:11:01, ,,,,,,,,,,,
1.352,09/10/2013 21:12:01, ,,,,,,,,,,,
1.3521,09/10/2013 21:13:01, ,,,,,,,,,,,
1.352,09/10/2013 21:14:01, ,,,,,,,,,,,
1.3521,09/10/2013 21:15:01, ,,,,,,,,,,,
1.3521,09/10/2013 21:16:01, ,,,,,,,,,,,
1.352,09/10/2013 21:17:02, ,,,,,,,,,,,
1.352,09/10/2013 21:18:02, ,,,,,,,,,,,
1.3518,09/10/2013 21:19:10, ,,,,,,,,,,,
1.3518,09/10/2013 21:19:12, ,,,,,,,,,,,
1.3519,09/10/2013 21:20:02, ,,,,,,,,,,,
1.3519,09/10/2013 21:21:01, ,,,,,,,,,,,
1.352,09/10/2013 21:22:02, ,,,,,,,,,,,
1.3521,09/10/2013 21:23:02, ,,,,,,,,,,,
1.3521,09/10/2013 21:24:01, ,,,,,,,,,,,
1.352,09/10/2013 21:25:01, ,,,,,,,,,,,
1.352,09/10/2013 21:26:01, ,,,,,,,,,,,
1.352,09/10/2013 21:27:01, ,,,,,,,,,,,
1.352,09/10/2013 21:28:01, ,,,,,,,,,,,
1.3521,09/10/2013 21:29:02, ,,,,,,,,,,,
1.3521,09/10/2013 21:30:02, ,,,,,,,,,,,
1.3521,09/10/2013 21:31:02, ,,,,,,,,,,,
1.3522,09/10/2013 21:32:02, ,,,,,,,,,,,
1.3521,09/10/2013 21:33:01, ,,,,,,,,,,,
1.3522,09/10/2013 21:34:01, ,,,,,,,,,,,
1.3523,09/10/2013 21:35:01, ,,,,,,,,,,,
1.3523,09/10/2013 21:36:02, ,,,,,,,,,,,
1.3524,09/10/2013 21:37:02, ,,,,,,,,,,,
1.3524,09/10/2013 21:38:02, ,,,,,,,,,,,
1.3523,09/10/2013 21:39:01, ,,,,,,,,,,,
1.3523,09/10/2013 21:40:01, ,,,,,,,,,,,
1.352,09/10/2013 21:41:01, ,,,,,,,,,,,
1.352,09/10/2013 21:42:01, ,,,,,,,,,,,
1.352,09/10/2013 21:43:02, ,,,,,,,,,,,
1.352,09/10/2013 21:44:02, ,,,,,,,,,,,
1.352,09/10/2013 21:45:02, ,,,,,,,,,,,
1.352,09/10/2013 21:46:01, ,,,,,,,,,,,
1.352,09/10/2013 21:47:01, ,,,,,,,,,,,
1.352,09/10/2013 21:48:01, ,,,,,,,,,,,
1.352,09/10/2013 21:49:01, ,,,,,,,,,,,
1.3524,09/10/2013 21:50:02, ,,,,,,,,,,,
1.352,09/10/2013 21:51:02, ,,,,,,,,,,,
1.352,09/10/2013 21:52:02, ,,,,,,,,,,,
1.352,09/10/2013 21:53:02, ,,,,,,,,,,,
1.352,09/10/2013 21:54:01, ,,,,,,,,,,,
1.3521,09/10/2013 21:55:01, ,,,,,,,,,,,
1.3521,09/10/2013 21:56:01, ,,,,,,,,,,,
1.3521,09/10/2013 21:57:11, ,,,,,,,,,,,
1.3522,09/10/2013 21:58:01, ,,,,,,,,,,,
1.3522,09/10/2013 21:59:02, ,,,,,,,,,,,
1.3522,09/10/2013 22:00:02, ,,,,,,,,,,,
1.3519,09/10/2013 22:01:02, ,,,,,,,,,,,
1.3522,09/10/2013 22:02:02, ,,,,,,,,,,,
1.3522,09/10/2013 22:03:01, ,,,,,,,,,,,
1.3522,09/10/2013 22:04:01, ,,,,,,,,,,,
1.3524,09/10/2013 22:05:01, ,,,,,,,,,,,
1.3524,09/10/2013 22:06:01, ,,,,,,,,,,,
1.3522,09/10/2013 22:07:01, ,,,,,,,,,,,
1.3524,09/10/2013 22:08:01, ,,,,,,,,,,,
1.3523,09/10/2013 22:09:02, ,,,,,,,,,,,
1.3524,09/10/2013 22:10:01, ,,,,,,,,,,,
1.3524,09/10/2013 22:11:01, ,,,,,,,,,,,
1.3524,09/10/2013 22:12:01, ,,,,,,,,,,,
